[01:46:32:77] Log File created @D:/Users/sxlga/Documents/Studium/Master/Semester 3/AVRO Simulation/Assets\logs\2026-02-12-13-46.log
[01:46:33:58] Destroying Main Camera
[01:46:36:98] Destroying Main Camera
[01:47:05:35] switching to sub-state: Scenes.Simulation.Scripts.MissionSubState
[01:47:05:35] loaded mission W-46_S-1 onto Screen
[01:47:07:90] loaded mission W-1_S-2 onto Screen
[01:47:08:48] loaded mission W-58_S-1 onto Screen
[01:47:08:49] loaded mission W-58_S-1 onto Screen
[01:47:09:16] loaded mission W-46_S-1 onto Screen
[01:47:10:74] loaded mission W-1_S-2 onto Screen
[01:47:11:13] loaded mission W-58_S-1 onto Screen
[01:47:11:71] loaded mission W-55_S-1 onto Screen
[01:47:12:13] loaded mission W-58_S-1 onto Screen
[01:47:12:62] loaded mission W-55_S-1 onto Screen
[01:47:12:99] loaded mission W-58_S-1 onto Screen
[01:47:12:99] loaded mission W-58_S-1 onto Screen
[01:47:13:44] loaded mission W-52_S-1 onto Screen
[01:47:13:93] loaded mission W-15_S-1 onto Screen
[01:47:14:30] loaded mission W-6_S-1 onto Screen
[01:47:14:53] loaded mission W-46_S-1 onto Screen
[01:47:14:83] loaded mission W-55_S-1 onto Screen
[01:47:15:22] loaded mission W-1_S-2 onto Screen
[01:47:15:49] loaded mission W-46_S-1 onto Screen
